Weight,Weight_Multiplier,F1,Precision,Recall,Threshold
55.5,1.5,0.11729604642505331,0.0761218958858562,0.25731094012629663,0.9909395257966285
74.0,2.0,0.11755858641495319,0.07696022741686179,0.24939005743393308,0.9937389281578453
92.5,2.5,0.11756170502168266,0.07564449349446291,0.2694997466478271,0.9938335726772193
111.0,3.0,0.11772348876907614,0.07721269893957679,0.24817017230179936,0.9958535084351618
148.0,4.0,0.11789235798609475,0.07694066070491325,0.2524380961309663,0.9968074397497801
