iter	Logloss
0	0.6129789416
1	0.5381874834
2	0.4796509006
3	0.4284845773
4	0.3838129104
5	0.3446279589
6	0.3107469287
7	0.2811986155
8	0.2555025492
9	0.2331876753
10	0.2133753714
11	0.1959657896
12	0.1811026337
13	0.1675176859
14	0.1562017132
15	0.1469507297
16	0.1387765265
17	0.1315315969
18	0.1250675891
19	0.1192986942
20	0.1140800419
21	0.1086856713
22	0.1042242176
23	0.1002379173
24	0.09712767959
25	0.09413903357
26	0.09168863033
27	0.08927558759
28	0.08728195529
29	0.0851384469
30	0.08314420941
31	0.08139617652
32	0.08019779556
33	0.07890269222
34	0.07756770602
35	0.07661718391
36	0.07576947756
37	0.07483236666
38	0.074220702
39	0.07347371688
40	0.0728903663
41	0.07223303397
42	0.07177264113
43	0.07129724591
44	0.070781081
45	0.07011459378
46	0.06929230786
47	0.06875418439
48	0.06839540251
49	0.06817831687
50	0.06768603293
51	0.06719770187
52	0.06680363194
53	0.06647484059
54	0.06617083131
55	0.06595479851
56	0.06556052492
57	0.06546530499
58	0.06520558677
59	0.0649449578
60	0.06460792839
61	0.0643882476
62	0.06424462702
63	0.06401147023
64	0.06376705266
65	0.06365665732
66	0.06354374509
67	0.06336473908
68	0.0629887889
69	0.06278531017
70	0.06259597798
71	0.06240993446
72	0.06223742039
73	0.06206690776
74	0.06193888665
75	0.06183932975
76	0.06168759364
77	0.06140772422
78	0.06132750233
79	0.0612981834
80	0.06125690571
81	0.06125643244
82	0.06116377824
83	0.06115045722
84	0.06108816062
85	0.06100024611
86	0.06098276908
87	0.06080543441
88	0.06080543441
89	0.0607936621
90	0.06073850819
91	0.06071544175
92	0.06062240149
93	0.06062235711
94	0.06062224816
95	0.0605199944
96	0.0605198237
97	0.0602801922
98	0.06021495491
99	0.06018961922
100	0.06017239098
101	0.06000534388
102	0.05997119
103	0.05991925453
104	0.05983324309
105	0.05963979153
106	0.05961838608
107	0.05956597287
108	0.05950907503
109	0.05950917122
110	0.05947186342
111	0.05947174499
112	0.05940179805
113	0.05938772341
114	0.05937267315
115	0.05916972525
116	0.05909766436
117	0.05903067957
118	0.05900950855
119	0.05896098517
120	0.05894313865
121	0.05888053782
122	0.05882217696
123	0.05879991586
124	0.05874629878
125	0.05868745665
126	0.05866856716
127	0.05864634246
128	0.05857829842
129	0.05856185683
130	0.05856185749
131	0.05854442494
132	0.05853075433
133	0.05851319898
134	0.05847363514
135	0.05846432686
136	0.05846438288
137	0.05844910775
138	0.05841189144
139	0.05841196355
140	0.05837601942
141	0.05823896762
142	0.05820924664
143	0.05819136625
144	0.05815644131
145	0.05814872389
146	0.05810173263
147	0.05809544355
148	0.05806826518
149	0.05806821947
150	0.05806824922
151	0.05804284186
152	0.05800956749
153	0.05794178581
154	0.05790729974
155	0.05789236477
156	0.05786621258
157	0.05778996715
158	0.05778992058
159	0.05778998274
160	0.05777939503
161	0.05776420443
162	0.05770957576
163	0.05769843058
164	0.05768948026
165	0.05766148074
166	0.05756550091
167	0.05756558355
168	0.05751310365
169	0.05750824343
170	0.05747434949
171	0.05746714714
172	0.0574610511
173	0.05743873782
174	0.05740037439
175	0.05739052661
176	0.05737897264
177	0.05737893298
178	0.05736150893
179	0.05736150893
180	0.05736160559
181	0.05736148974
182	0.05731184905
183	0.05726630093
184	0.05725593008
185	0.05725308631
186	0.05720446925
187	0.05720452485
188	0.05720448087
189	0.05707463646
190	0.05703816815
191	0.05702702958
192	0.05702704102
193	0.05702703432
194	0.05702703432
195	0.05699187568
196	0.05697665834
197	0.05687009365
198	0.0567293757
199	0.05672408813
200	0.05672413493
201	0.05672409926
202	0.0567240569
203	0.05670810074
204	0.05668552385
205	0.05668545718
206	0.05668545962
207	0.05668550489
208	0.0566754408
209	0.05667552083
210	0.05666921845
211	0.05666922206
212	0.0566466021
213	0.05661132208
214	0.05660387978
215	0.05658690116
216	0.05658690251
217	0.05658686729
218	0.05655500671
219	0.05655500671
220	0.05652172603
221	0.05650786255
222	0.05648764629
223	0.05647439608
224	0.05646866912
225	0.05646866912
226	0.05646857333
227	0.05637482292
228	0.05637479691
229	0.0563527414
230	0.05634679392
231	0.05632679149
232	0.05632673972
233	0.05632679527
234	0.05631311091
235	0.05630807793
236	0.05630807578
237	0.05629793203
238	0.05629810756
239	0.05628497922
240	0.05627962951
241	0.05625862598
242	0.05625862598
243	0.05625001776
244	0.05625001776
245	0.05624362487
246	0.05621341319
247	0.05616369811
248	0.05616359327
249	0.0561635463
250	0.05616356527
251	0.05606582981
252	0.05606126013
253	0.05605634504
254	0.05603466237
255	0.05602454185
256	0.05601319901
257	0.05597821754
258	0.05597816233
259	0.05597819742
260	0.05597813183
261	0.05597804468
262	0.05596787631
263	0.05596779307
264	0.05596388189
265	0.0559638885
266	0.05596381193
267	0.05596383096
268	0.05595555703
269	0.05595556482
270	0.05595553449
271	0.05592692324
272	0.05592697444
273	0.05581355265
274	0.05571350315
275	0.05571345802
276	0.05570289371
277	0.05560998643
278	0.05556766337
279	0.05554349428
280	0.05546148743
281	0.05544380316
282	0.05544376222
283	0.05544374208
284	0.05544370461
285	0.05544373616
286	0.05542716422
287	0.05534613135
288	0.05533588583
289	0.05533058092
290	0.05533058092
291	0.05528933654
292	0.05528927698
293	0.0552561988
294	0.05521403901
295	0.0551927866
296	0.05518750337
297	0.05518755771
298	0.05518756633
299	0.05518752699
